train_sample_size,N,n_components,ro,linreg,pcr,pls
1000.0,500.0,250.0,0.7,0.9999904708098846,0.5348398362379393,0.9999904806630314
1000.0,500.0,166.0,0.7,0.9999904708098846,0.3748761754699108,0.9999904707131667
1000.0,500.0,100.0,0.7,0.9999904708098846,0.2736720102995819,0.9999904708098846
1000.0,500.0,50.0,0.7,0.9999904708098846,0.180961093222075,0.9999904708086991
1000.0,500.0,5.0,0.7,0.9999904708098846,0.10264868873602107,0.9680866549064441
1000.0,500.0,2.0,0.7,0.9999904708098846,0.09979910143430848,0.682233426395764
500.0,500.0,500.0,0.7,0.9977827493562168,0.9934718296127427,0.9946185164440502
500.0,500.0,250.0,0.7,0.9977827493562168,0.5188980695376695,0.988559923586922
500.0,500.0,166.0,0.7,0.9977827493562168,0.3881622860354401,0.9860129698305385
500.0,500.0,100.0,0.7,0.9977827493562168,0.28278363937054785,0.9830573549060664
500.0,500.0,50.0,0.7,0.9977827493562168,0.18671425221701554,0.975251151641722
500.0,500.0,5.0,0.7,0.9977827493562168,0.10491086878073352,0.7905278826275371
500.0,500.0,2.0,0.7,0.9977827493562168,0.09750002297398241,0.5268106990729795
5000.0,500.0,500.0,0.9,0.9999972704027307,0.9999972704027307,0.99999711474077
5000.0,500.0,250.0,0.9,0.9999972704027307,0.9172603405775736,0.9999972337905274
5000.0,500.0,166.0,0.9,0.9999972704027307,0.8917109580738403,0.9999972605368035
5000.0,500.0,100.0,0.9,0.9999972704027307,0.8766362656963419,0.9999972703337554
5000.0,500.0,50.0,0.9,0.9999972704027307,0.8585544101969415,0.9999972704027308
5000.0,500.0,5.0,0.9,0.9999972704027307,0.8463635727375936,0.9999791787513794
5000.0,500.0,2.0,0.9,0.9999972704027307,0.8467345147544466,0.9851962019066696
2500.0,500.0,500.0,0.9,0.9999969106392558,0.9999969106392558,0.9999966998737703
2500.0,500.0,250.0,0.9,0.9999969106392558,0.9219688218572719,0.9999968706854842
2500.0,500.0,166.0,0.9,0.9999969106392558,0.8978417722296446,0.9999968964243094
2500.0,500.0,100.0,0.9,0.9999969106392558,0.8782082776483725,0.999996908100442
2500.0,500.0,50.0,0.9,0.9999969106392558,0.8616720346654598,0.9999969106392558
2500.0,500.0,5.0,0.9,0.9999969106392558,0.8461297589089053,0.9997646661055833
2500.0,500.0,2.0,0.9,0.9999969106392558,0.843497029210955,0.9722434402498887
1500.0,500.0,500.0,0.9,0.9999962738263327,0.9999962738263327,0.9999959800969267
1500.0,500.0,250.0,0.9,0.9999962738263327,0.9219745646630089,0.9999962183303884
1500.0,500.0,166.0,0.9,0.9999962738263327,0.891477802992529,0.9999962721108467
1500.0,500.0,100.0,0.9,0.9999962738263327,0.877800150597869,0.9999962738263298
1500.0,500.0,50.0,0.9,0.9999962738263327,0.860598542891843,0.9999962738263327
1500.0,500.0,5.0,0.9,0.9999962738263327,0.8437192234558596,0.9984500871651754
1500.0,500.0,2.0,0.9,0.9999962738263327,0.843426658928144,0.9566044925303899
1000.0,500.0,500.0,0.9,0.999994980160099,0.999994980160099,0.9999947009828491
1000.0,500.0,250.0,0.9,0.999994980160099,0.9279495772244303,0.9999949785801634
1000.0,500.0,166.0,0.9,0.999994980160099,0.8953730722369141,0.999994979698825
1000.0,500.0,100.0,0.9,0.999994980160099,0.8779870403582791,0.999994980160099
1000.0,500.0,50.0,0.9,0.999994980160099,0.8600855537134332,0.9999949801594115
1000.0,500.0,5.0,0.9,0.999994980160099,0.8448856175018347,0.9929720474871111
1000.0,500.0,2.0,0.9,0.999994980160099,0.8452046435030944,0.9448312395995849
500.0,500.0,500.0,0.9,0.9981876389794199,0.9981377123567641,0.9981400681654067
500.0,500.0,250.0,0.9,0.9981876389794199,0.922614997553492,0.9994241385185442
500.0,500.0,166.0,0.9,0.9981876389794199,0.8948399438351178,0.998948628094132
500.0,500.0,100.0,0.9,0.9981876389794199,0.8753697488171176,0.9980266776026161
500.0,500.0,50.0,0.9,0.9981876389794199,0.8581505696189529,0.9956140537142768
500.0,500.0,5.0,0.9,0.9981876389794199,0.8449936744494512,0.9592570797204435
500.0,500.0,2.0,0.9,0.9981876389794199,0.8432070546721003,0.9169603854833887
5000.0,500.0,500.0,0.99,0.999991142283539,0.999991142283539,0.9999908912420943
5000.0,500.0,250.0,0.99,0.999991142283539,0.9751598467589159,0.9999911012632546
5000.0,500.0,166.0,0.99,0.999991142283539,0.9649346702768896,0.9999911279315469
5000.0,500.0,100.0,0.99,0.999991142283539,0.9546875666163726,0.9999911385594558
5000.0,500.0,50.0,0.99,0.999991142283539,0.9509065536998094,0.9999911422834605
5000.0,500.0,5.0,0.99,0.999991142283539,0.9453908448225845,0.9999861454758737
5000.0,500.0,2.0,0.99,0.999991142283539,0.9452240629969593,0.9951662241059281
2500.0,500.0,500.0,0.99,0.999990120569136,0.999990120569136,0.9999894209604473
2500.0,500.0,250.0,0.99,0.999990120569136,0.9741619468039384,0.9999900779678106
2500.0,500.0,166.0,0.99,0.999990120569136,0.9612559465444717,0.9999901222437922
2500.0,500.0,100.0,0.99,0.999990120569136,0.9547248331009098,0.9999901213992872
2500.0,500.0,50.0,0.99,0.999990120569136,0.9502961346641046,0.999990120569136
2500.0,500.0,5.0,0.99,0.999990120569136,0.9451119672652125,0.9999229701697254
2500.0,500.0,2.0,0.99,0.999990120569136,0.9450210167683878,0.9914350471832536
1500.0,500.0,500.0,0.99,0.999988369311062,0.999988369311062,0.9999875482916358
1500.0,500.0,250.0,0.99,0.999988369311062,0.9753876839385857,0.9999882829181554
1500.0,500.0,166.0,0.99,0.999988369311062,0.9638724553474829,0.9999883693449927
1500.0,500.0,100.0,0.99,0.999988369311062,0.9552794971991002,0.9999883693107353
1500.0,500.0,50.0,0.99,0.999988369311062,0.9511151932781947,0.999988369311062
1500.0,500.0,5.0,0.99,0.999988369311062,0.9453253242112407,0.9995037719514998
1500.0,500.0,2.0,0.99,0.999988369311062,0.945118120924088,0.9861638305271273
1000.0,500.0,500.0,0.99,0.9999837289277335,0.9999837289277335,0.9999830444697819
1000.0,500.0,250.0,0.99,0.9999837289277335,0.973685008137567,0.9999837378550301
1000.0,500.0,166.0,0.99,0.9999837289277335,0.9627768663212968,0.9999837276417214
1000.0,500.0,100.0,0.99,0.9999837289277335,0.9564714758972875,0.9999837289277335
1000.0,500.0,50.0,0.99,0.9999837289277335,0.9525878230197062,0.9999837289281049
1000.0,500.0,5.0,0.99,0.9999837289277335,0.9455400888367559,0.9980055412690488
1000.0,500.0,2.0,0.99,0.9999837289277335,0.9450124851688029,0.9811160484900973
500.0,500.0,500.0,0.99,0.9470156114438781,0.9470218326561609,0.9470217368023123
500.0,500.0,250.0,0.99,0.9470156114438781,0.9726793063997551,0.9994112205424134
500.0,500.0,166.0,0.99,0.9470156114438781,0.9633008846705546,0.9994069295900465
500.0,500.0,100.0,0.99,0.9470156114438781,0.9563646764623405,0.9992341106716145
500.0,500.0,50.0,0.99,0.9470156114438781,0.9503824406403081,0.9988529796363753
500.0,500.0,5.0,0.99,0.9470156114438781,0.9450509844240517,0.9882560836881856
500.0,500.0,2.0,0.99,0.9470156114438781,0.944570610123807,0.971593524755134
1000.0,100.0,100.0,0.01,0.9999831626129903,0.9999831626129903,0.9999828043243671
1000.0,100.0,50.0,0.01,0.9999831626129903,0.48782815518413425,0.9999831626130097
1000.0,100.0,33.0,0.01,0.9999831626129903,0.28279332192350215,0.9999831626129903
1000.0,100.0,20.0,0.01,0.9999831626129903,0.07402534761205781,0.9999831626130016
1000.0,100.0,10.0,0.01,0.9999831626129903,0.03645607743657642,0.9999831599293354
1000.0,100.0,1.0,0.01,0.9999831626129903,0.018943849320860795,0.8980697982209789
500.0,100.0,100.0,0.01,0.9999811082162076,0.9999811082162076,0.9999799537260189
500.0,100.0,50.0,0.01,0.9999811082162076,0.5557937751105666,0.9999811082162076
500.0,100.0,33.0,0.01,0.9999811082162076,0.33826269328089287,0.9999811082162073
500.0,100.0,20.0,0.01,0.9999811082162076,0.17221833269893294,0.9999811082562157
500.0,100.0,10.0,0.01,0.9999811082162076,0.09859661391601127,0.9999807722358193
500.0,100.0,1.0,0.01,0.9999811082162076,0.016867171847434248,0.8265015180650286
300.0,100.0,100.0,0.01,0.9999759571816554,0.9999759571816554,0.9999755199034959
300.0,100.0,50.0,0.01,0.9999759571816554,0.5028981109172654,0.9999759571816554
300.0,100.0,33.0,0.01,0.9999759571816554,0.2582492681578964,0.9999759571808874
300.0,100.0,20.0,0.01,0.9999759571816554,0.11665511037415,0.999975959243436
300.0,100.0,10.0,0.01,0.9999759571816554,0.078853726856846,0.9999596280391985
300.0,100.0,1.0,0.01,0.9999759571816554,0.03254426865096316,0.7360321549113924
