M,N,n,rho,model,R2,MSE
500,500,5,0.1,pcr,0.07248677220077182,479.09048148974074
500,500,5,0.1,pls,0.7805370345787548,113.35969625178235
500,500,50,0.1,linreg,0.5597612580669382,227.39750175164437
500,500,50,0.1,pcr,0.1675769733698358,429.97332725665365
500,500,50,0.1,pls,0.9517548562556427,24.920171975195977
500,500,125,0.1,linreg,0.5597612580669382,227.39750175164437
500,500,125,0.1,pcr,0.25629113912062207,384.14960085508795
500,500,125,0.1,pls,0.9226377386873985,39.96010181906781
500,500,250,0.1,linreg,0.5597612580669382,227.39750175164437
500,500,250,0.1,pcr,0.5064437837284926,254.93769599041815
500,500,250,0.1,pls,0.8793040336519786,62.34335737587983
5000,500,5,0.2,linreg,0.9981483487994314,1.1150383900153797
5000,500,5,0.2,pcr,0.2983727326207367,422.51010253400256
5000,500,5,0.2,pls,0.9980916417909926,1.1491865553786635
5000,500,50,0.2,linreg,0.9981483487994314,1.1150383900153797
5000,500,50,0.2,pcr,0.3461681056955471,393.7283990322012
5000,500,50,0.2,pls,0.9981483487994314,1.1150383900153784
5000,500,125,0.2,linreg,0.9981483487994314,1.1150383900153797
5000,500,125,0.2,pcr,0.47121322703742186,318.42798028297716
5000,500,125,0.2,pls,0.9981480889644305,1.1151948590096021
5000,500,250,0.2,linreg,0.9981483487994314,1.1150383900153797
5000,500,250,0.2,pcr,0.6653438433088474,201.52524517092775
5000,500,250,0.2,pls,0.9981416219928413,1.1190891786238386
2500,500,5,0.2,linreg,0.9979080898818427,1.259800992800342
2500,500,5,0.2,pcr,0.2961474202899992,423.87776176770154
2500,500,5,0.2,pls,0.9968985499945049,1.8677713550547097
2500,500,50,0.2,linreg,0.9979080898818427,1.259800992800342
2500,500,50,0.2,pcr,0.35458768414362163,388.6835620823162
2500,500,50,0.2,pls,0.9979080898818427,1.2598009928003366
2500,500,125,0.2,linreg,0.9979080898818427,1.259800992800342
2500,500,125,0.2,pcr,0.49304460112881543,305.3013173271415
2500,500,125,0.2,pls,0.9979076104564418,1.2600897148590797
2500,500,250,0.2,linreg,0.9979080898818427,1.259800992800342
2500,500,250,0.2,pcr,0.6424357941773786,215.3341759644971
2500,500,250,0.2,pls,0.9979027867259758,1.2629946869118232
1500,500,5,0.2,linreg,0.9975281222816718,1.488716535280144
1500,500,5,0.2,pcr,0.2951538772828741,424.5016126553187
1500,500,5,0.2,pls,0.9902669760387198,5.861824637197387
1500,500,50,0.2,linreg,0.9975281222816718,1.488716535280144
1500,500,50,0.2,pcr,0.35701746507717513,387.2435616610253
1500,500,50,0.2,pls,0.9975281222816692,1.488716535281718
1500,500,125,0.2,linreg,0.9975281222816718,1.488716535280144
1500,500,125,0.2,pcr,0.4665014191604383,321.30560219681723
1500,500,125,0.2,pls,0.9975281298655468,1.4887119678049432
1500,500,250,0.2,linreg,0.9975281222816718,1.488716535280144
1500,500,250,0.2,pcr,0.6480553704214633,211.96266533401416
1500,500,250,0.2,pls,0.9974867252236317,1.513648385411446
1000,500,5,0.2,linreg,0.9966081065744777,2.0420883833326093
1000,500,5,0.2,pcr,0.29436223980896403,424.828994355888
1000,500,5,0.2,pls,0.9694242558942119,18.408117242235367
1000,500,50,0.2,linreg,0.9966081065744777,2.0420883833326093
1000,500,50,0.2,pcr,0.37525090310612663,376.12999974139575
1000,500,50,0.2,pls,0.9966081065727987,2.042088384343457
1000,500,125,0.2,linreg,0.9966081065744777,2.0420883833326093
1000,500,125,0.2,pcr,0.4794176777603213,313.41642541445304
1000,500,125,0.2,pls,0.9966081065744775,2.0420883833327474
1000,500,250,0.2,linreg,0.9966081065744777,2.0420883833326093
1000,500,250,0.2,pcr,0.6421020397128825,215.47235582976273
1000,500,250,0.2,pls,0.9966270655822753,2.0306741185766897
500,500,5,0.2,linreg,0.4672031513691134,320.6883749455507
500,500,5,0.2,pcr,0.2958178103205882,423.8445528613418
500,500,5,0.2,pls,0.8381063469255108,97.4431674133724
500,500,50,0.2,linreg,0.4672031513691134,320.6883749455507
500,500,50,0.2,pcr,0.377108739619739,374.9158550251078
500,500,50,0.2,pls,0.9638967677799384,21.730396680619958
500,500,125,0.2,linreg,0.4672031513691134,320.6883749455507
500,500,125,0.2,pcr,0.487326689769891,308.5760945435873
500,500,125,0.2,pls,0.9387066357283085,36.892240323387945
500,500,250,0.2,linreg,0.4672031513691134,320.6883749455507
500,500,250,0.2,pcr,0.6593456408743636,205.0385491709258
500,500,250,0.2,pls,0.8379162039068185,97.55761376535126
5000,500,5,0.5,linreg,0.9988275444244422,1.094017587515703
5000,500,5,0.5,pcr,0.747757016246392,235.36777538254503
5000,500,5,0.5,pls,0.9988000889642557,1.1196362607888735
5000,500,50,0.5,linreg,0.9988275444244422,1.094017587515703
5000,500,50,0.5,pcr,0.7690976069683446,215.4548831037186
5000,500,50,0.5,pls,0.9988275444244422,1.0940175875157094
5000,500,125,0.5,linreg,0.9988275444244422,1.094017587515703
5000,500,125,0.5,pcr,0.8130104091888892,174.479873945251
5000,500,125,0.5,pls,0.9988274419768544,1.094113181297934
5000,500,250,0.5,linreg,0.9988275444244422,1.094017587515703
5000,500,250,0.5,pcr,0.8749663759265286,116.6687989027939
5000,500,250,0.5,pls,0.9988255902914843,1.0958409877953437
2500,500,5,0.5,linreg,0.9986674221741513,1.2444043052515346
2500,500,5,0.5,pcr,0.7462279686971818,236.98053665610064
2500,500,5,0.5,pls,0.9983058525617026,1.5820497122601263
2500,500,50,0.5,linreg,0.9986674221741513,1.2444043052515346
2500,500,50,0.5,pcr,0.7691273141877077,215.596386655178
2500,500,50,0.5,pls,0.9986674221741513,1.2444043052515386
2500,500,125,0.5,linreg,0.9986674221741513,1.2444043052515346
2500,500,125,0.5,pcr,0.8043630690340088,182.69209830594224
2500,500,125,0.5,pls,0.9986675319754167,1.2443017692759935
2500,500,250,0.5,linreg,0.9986674221741513,1.2444043052515346
2500,500,250,0.5,pcr,0.8661606989903686,124.98347125216715
2500,500,250,0.5,pls,0.9986593578937115,1.2519349913423314
1500,500,5,0.5,linreg,0.9983924954935085,1.5008908042808367
1500,500,5,0.5,pcr,0.7461144439447228,237.04723369938068
1500,500,5,0.5,pls,0.99549678120154,4.204554112899516
