M,N,n,rho,model,R2,MSE
5000,500,50,0.99,pls,0.9999347371188261,1.1089017081332329
5000,500,125,0.99,linreg,0.9999347371188261,1.1089017081332415
5000,500,125,0.99,pcr,0.9947169564052678,89.76582034010951
5000,500,125,0.99,pls,0.99993473716153,1.1089009825369787
5000,500,250,0.99,linreg,0.9999347371188261,1.1089017081332415
5000,500,250,0.99,pcr,0.9961676369693062,65.11686021942994
5000,500,250,0.99,pls,0.9999345186834394,1.1126132110414215
2500,500,5,0.99,linreg,0.9999257340936687,1.2610228682470264
2500,500,5,0.99,pcr,0.9931644547340476,116.06643375291436
2500,500,5,0.99,pls,0.9999163678877491,1.4200595034506627
2500,500,50,0.99,linreg,0.9999257340936687,1.2610228682470264
2500,500,50,0.99,pcr,0.9937974945032233,105.31752264585768
2500,500,50,0.99,pls,0.9999257340936687,1.2610228682470297
2500,500,125,0.99,linreg,0.9999257340936687,1.2610228682470264
2500,500,125,0.99,pcr,0.9948904741375358,86.75890831685861
2500,500,125,0.99,pls,0.999925735033483,1.2610069103534347
2500,500,250,0.99,linreg,0.9999257340936687,1.2610228682470264
2500,500,250,0.99,pcr,0.9960021125265031,67.88347140432431
2500,500,250,0.99,pls,0.9999255848278289,1.263557377644115
1500,500,5,0.99,linreg,0.9999088862083376,1.5471442233602473
1500,500,5,0.99,pcr,0.9931892523429516,115.64889027348649
1500,500,5,0.99,pls,0.9998429642486564,2.6665222807597706
1500,500,50,0.99,linreg,0.9999088862083376,1.5471442233602473
1500,500,50,0.99,pcr,0.9937854956693204,105.52446891775494
1500,500,50,0.99,pls,0.9999088862083376,1.5471442233593704
1500,500,125,0.99,linreg,0.9999088862083376,1.5471442233602473
1500,500,125,0.99,pcr,0.9947381447779673,89.34815204584356
1500,500,125,0.99,pls,0.9999089570945712,1.5459405501865655
1500,500,250,0.99,linreg,0.9999088862083376,1.5471442233602473
1500,500,250,0.99,pcr,0.9962007370629659,64.5128207136657
1500,500,250,0.99,pls,0.9999078137101095,1.5653556204265253
1000,500,5,0.99,linreg,0.9998781170321583,2.0690611160366577
1000,500,5,0.99,pcr,0.9931729523862676,115.89460779499765
1000,500,5,0.99,pls,0.9995848476963333,7.047543261872692
1000,500,50,0.99,linreg,0.9998781170321583,2.0690611160366577
1000,500,50,0.99,pcr,0.9938025988045667,105.20585493621981
1000,500,50,0.99,pls,0.999878117033272,2.0690610971302514
1000,500,125,0.99,linreg,0.9998781170321583,2.0690611160366577
1000,500,125,0.99,pcr,0.994847241872669,87.47220116471763
1000,500,125,0.99,pls,0.9998781170321582,2.069061116037806
1000,500,250,0.99,linreg,0.9998781170321583,2.0690611160366577
1000,500,250,0.99,pcr,0.9965673326459258,58.27228096240401
1000,500,250,0.99,pls,0.9998781406612851,2.0686599926616087
500,500,5,0.99,linreg,0.9938605140442124,104.22122378438617
500,500,5,0.99,pcr,0.9931028783510304,117.08251538025947
500,500,5,0.99,pls,0.9982790714152359,29.213729690279575
500,500,50,0.99,linreg,0.9938605140442124,104.22122378438617
500,500,50,0.99,pcr,0.9938159458728644,104.97779353520448
500,500,50,0.99,pls,0.9989275647382677,18.20519115316254
500,500,125,0.99,linreg,0.9938605140442124,104.22122378438617
500,500,125,0.99,pcr,0.9948995780820001,86.58252790847172
500,500,125,0.99,pls,0.9976663410000718,39.615172771701246
500,500,250,0.99,linreg,0.9938605140442124,104.22122378438617
500,500,250,0.99,pcr,0.9964702545193913,59.91941284427208
500,500,250,0.99,pls,0.9957076623448817,72.86484349565417
1000,100,1,0.01,linreg,0.9995637710855095,1.1228303740263879
1000,100,1,0.01,pcr,-0.001468063047771695,2577.726332333972
1000,100,1,0.01,pls,0.8999211480382834,257.5977223141508
1000,100,10,0.01,linreg,0.9995637710855095,1.1228303740263879
1000,100,10,0.01,pcr,0.09466513365436502,2330.284519964646
1000,100,10,0.01,pls,0.9995637938590136,1.1227717562198962
1000,100,25,0.01,linreg,0.9995637710855095,1.1228303740263879
1000,100,25,0.01,pcr,0.22018649874423035,2007.1991016658721
