K,n_K_ratio,n,N_K_ratio,M,rho,model,R2,MSE
200,0.1,20,1,200,0.01,linreg,0.24269007409169663,3810.8536957520446
200,0.1,20,1,200,0.01,pcr,0.12181944052348359,4419.085919948573
200,0.1,20,1,200,0.01,pls,0.9399757773757812,302.0474482066203
200,0.2,40,1,200,0.01,linreg,0.24269007409169663,3810.8536957520446
200,0.2,40,1,200,0.01,pcr,0.22615415208359813,3894.063986996609
200,0.2,40,1,200,0.01,pls,0.9713093489666536,144.3740135755186
200,0.5,100,1,200,0.01,linreg,0.24269007409169663,3810.8536957520446
200,0.5,100,1,200,0.01,pcr,0.4832154546499916,2600.507701246051
200,0.5,100,1,200,0.01,pls,0.9815752450322872,92.71507365735486
200,0.8,160,1,200,0.01,linreg,0.24269007409169663,3810.8536957520446
200,0.8,160,1,200,0.01,pcr,0.7853970299485538,1079.9020236781403
200,0.8,160,1,200,0.01,pls,0.9819776885559173,90.68994056865553
200,0.01,2,10,2000,0.1,linreg,0.9997669518902302,1.107266942552574
200,0.01,2,10,2000,0.1,pcr,0.1457020440065584,4058.972573071967
200,0.01,2,10,2000,0.1,pls,0.9174649430089428,392.14366637932693
200,0.1,20,10,2000,0.1,linreg,0.9997669518902302,1.107266942552574
200,0.1,20,10,2000,0.1,pcr,0.21323560314406054,3738.1045874026213
200,0.1,20,10,2000,0.1,pls,0.9997669518901963,1.1072669427136936
200,0.2,40,10,2000,0.1,linreg,0.9997669518902302,1.107266942552574
200,0.2,40,10,2000,0.1,pcr,0.34240870392295797,3124.3724936268627
200,0.2,40,10,2000,0.1,pls,0.9997669518902302,1.107266942552567
200,0.5,100,10,2000,0.1,linreg,0.9997669518902302,1.107266942552574
200,0.5,100,10,2000,0.1,pcr,0.5301901476503522,2232.178236957938
200,0.5,100,10,2000,0.1,pls,0.9997671258709278,1.1064403189202439
200,0.8,160,10,2000,0.1,linreg,0.9997669518902302,1.107266942552574
200,0.8,160,10,2000,0.1,pcr,0.8152107797358947,877.9774920322017
200,0.8,160,10,2000,0.1,pls,0.9997672055786307,1.1060616086846002
200,0.01,2,5,1000,0.1,linreg,0.9997404665524208,1.2331820509161215
200,0.01,2,5,1000,0.1,pcr,0.11739761530226234,4193.715411469452
200,0.01,2,5,1000,0.1,pls,0.8583364307614031,673.1192934212754
200,0.1,20,5,1000,0.1,linreg,0.9997404665524208,1.2331820509161215
200,0.1,20,5,1000,0.1,pcr,0.18417657192465398,3876.4129155725236
200,0.1,20,5,1000,0.1,pls,0.9997404666688641,1.2331814976315847
200,0.2,40,5,1000,0.1,linreg,0.9997404665524208,1.2331820509161215
200,0.2,40,5,1000,0.1,pcr,0.2695892021051888,3470.571882585829
200,0.2,40,5,1000,0.1,pls,0.9997404665524208,1.2331820509161313
200,0.5,100,5,1000,0.1,linreg,0.9997404665524208,1.2331820509161215
200,0.5,100,5,1000,0.1,pcr,0.5284497489572908,2240.5871424847146
200,0.5,100,5,1000,0.1,pls,0.9997376129499381,1.2467410406912591
200,0.8,160,5,1000,0.1,linreg,0.9997404665524208,1.2331820509161215
200,0.8,160,5,1000,0.1,pcr,0.8387809936069828,766.0376217584466
200,0.8,160,5,1000,0.1,pls,0.9997369597195979,1.2498448869898346
200,0.01,2,3,600,0.1,linreg,0.9996803452241579,1.517814703217374
200,0.01,2,3,600,0.1,pcr,0.11254390535592096,4213.902030283936
200,0.01,2,3,600,0.1,pls,0.796336457223451,967.0542819868891
200,0.1,20,3,600,0.1,linreg,0.9996803452241579,1.517814703217374
200,0.1,20,3,600,0.1,pcr,0.2220721484650272,3693.829782432621
200,0.1,20,3,600,0.1,pls,0.9996803182060574,1.5179429930893915
200,0.2,40,3,600,0.1,linreg,0.9996803452241579,1.517814703217374
200,0.2,40,3,600,0.1,pcr,0.26933097607496814,3469.430997167377
200,0.2,40,3,600,0.1,pls,0.9996803452242939,1.5178147025715623
200,0.5,100,3,600,0.1,linreg,0.9996803452241579,1.517814703217374
200,0.5,100,3,600,0.1,pcr,0.5599870880806053,2089.3104617551962
200,0.5,100,3,600,0.1,pls,0.9996803452254468,1.5178146970977868
200,0.8,160,3,600,0.1,linreg,0.9996803452241579,1.517814703217374
200,0.8,160,3,600,0.1,pcr,0.8408158293617787,755.8531671479358
200,0.8,160,3,600,0.1,pls,0.9996821401232271,1.5092919955847135
200,0.01,2,2,400,0.1,linreg,0.9996035795134025,1.8824815349392814
200,0.01,2,2,400,0.1,pcr,0.11726474402422948,4191.843953063418
200,0.01,2,2,400,0.1,pls,0.7126708959327959,1364.4394049854275
200,0.1,20,2,400,0.1,linreg,0.9996035795134025,1.8824815349392814
200,0.1,20,2,400,0.1,pcr,0.16323786123661455,3973.5314611972253
200,0.1,20,2,400,0.1,pls,0.9996063312952526,1.8694141514510045
200,0.2,40,2,400,0.1,linreg,0.9996035795134025,1.8824815349392814
200,0.2,40,2,400,0.1,pcr,0.2658804364231956,3486.112775685318
200,0.2,40,2,400,0.1,pls,0.9996035783653349,1.8824869867668559
200,0.5,100,2,400,0.1,linreg,0.9996035795134025,1.8824815349392814
200,0.5,100,2,400,0.1,pcr,0.5152201927531509,2302.073345114848
200,0.5,100,2,400,0.1,pls,0.9996035795134025,1.8824815349392825
200,0.8,160,2,400,0.1,linreg,0.9996035795134025,1.8824815349392814
200,0.8,160,2,400,0.1,pcr,0.8176427037431112,865.9598950383547
200,0.8,160,2,400,0.1,pls,0.999607676920862,1.8630241805780179
200,0.01,2,1,200,0.1,linreg,0.9305821144030368,329.5951180723966
200,0.01,2,1,200,0.1,pcr,0.12898989620049262,4135.543391091247
200,0.01,2,1,200,0.1,pls,0.5919211485266513,1937.5524920927653
200,0.1,20,1,200,0.1,linreg,0.9305821144030368,329.5951180723966
200,0.1,20,1,200,0.1,pcr,0.17280981083999747,3927.4870693619405
200,0.1,20,1,200,0.1,pls,0.9643036263993277,169.48586622155332
200,0.2,40,1,200,0.1,linreg,0.9305821144030368,329.5951180723966
200,0.2,40,1,200,0.1,pcr,0.27976086492635466,3419.6850094688584
200,0.2,40,1,200,0.1,pls,0.9810873243275593,89.79711089897732
200,0.5,100,1,200,0.1,linreg,0.9305821144030368,329.5951180723966
200,0.5,100,1,200,0.1,pcr,0.5805426041635641,1991.5776563655272
200,0.5,100,1,200,0.1,pls,0.992497440132814,35.62204587485366
200,0.8,160,1,200,0.1,linreg,0.9305821144030368,329.5951180723966
200,0.8,160,1,200,0.1,pcr,0.8361086456060451,778.1537832504036
200,0.8,160,1,200,0.1,pls,0.9809643136294881,90.38116391652872
200,0.01,2,10,2000,0.25,linreg,0.9997680128406495,1.148899501615634
200,0.01,2,10,2000,0.25,pcr,0.10486947995047247,4433.068671753886
200,0.01,2,10,2000,0.25,pls,0.9184730353474753,403.7563515142987
200,0.1,20,10,2000,0.25,linreg,0.9997680128406495,1.148899501615634
200,0.1,20,10,2000,0.25,pcr,0.21396137693386175,3892.799001547012
200,0.1,20,10,2000,0.25,pls,0.9997680128407772,1.1488995009830232
200,0.2,40,10,2000,0.25,linreg,0.9997680128406495,1.148899501615634
200,0.2,40,10,2000,0.25,pcr,0.2383536467031261,3771.998062996607
200,0.2,40,10,2000,0.25,pls,0.9997680128406495,1.1488995016156272
200,0.5,100,10,2000,0.25,linreg,0.9997680128406495,1.148899501615634
200,0.5,100,10,2000,0.25,pcr,0.5346150753736636,2304.7849262847217
200,0.5,100,10,2000,0.25,pls,0.9997681863340826,1.148040288030954
200,0.8,160,10,2000,0.25,linreg,0.9997680128406495,1.148899501615634
200,0.8,160,10,2000,0.25,pcr,0.845817936817413,763.5754325562336
200,0.8,160,10,2000,0.25,pls,0.9997684113071534,1.146926125291512
200,0.01,2,5,1000,0.25,linreg,0.999732386278412,1.3255504918210572
200,0.01,2,5,1000,0.25,pcr,0.10636072039570799,4426.394803527796
200,0.01,2,5,1000,0.25,pls,0.853444092516393,725.9241196279919
200,0.1,20,5,1000,0.25,linreg,0.999732386278412,1.3255504918210572
200,0.1,20,5,1000,0.25,pcr,0.1844594523041445,4039.554353503386
200,0.1,20,5,1000,0.25,pls,0.9997323863691361,1.3255500424439832
200,0.2,40,5,1000,0.25,linreg,0.999732386278412,1.3255504918210572
200,0.2,40,5,1000,0.25,pcr,0.21396057906080324,3893.4286883113728
200,0.2,40,5,1000,0.25,pls,0.999732386278412,1.3255504918210703
200,0.5,100,5,1000,0.25,linreg,0.999732386278412,1.3255504918210572
200,0.5,100,5,1000,0.25,pcr,0.5311146454955082,2322.4938115388127
200,0.5,100,5,1000,0.25,pls,0.9997318951434112,1.3279831930963963
200,0.8,160,5,1000,0.25,linreg,0.999732386278412,1.3255504918210572
200,0.8,160,5,1000,0.25,pcr,0.8754847099887261,616.7520220347891
200,0.8,160,5,1000,0.25,pls,0.9997329320278879,1.322847272860242
200,0.01,2,3,600,0.25,linreg,0.9996719691247294,1.6241854657756751
200,0.01,2,3,600,0.25,pcr,0.09718506201589205,4470.124647107501
200,0.01,2,3,600,0.25,pls,0.7659615236141537,1158.7991266514402
200,0.1,20,3,600,0.25,linreg,0.9996719691247294,1.6241854657756751
200,0.1,20,3,600,0.25,pcr,0.18762439721457547,4022.3306592916197
200,0.1,20,3,600,0.25,pls,0.9996718951446227,1.6245517648748349
200,0.2,40,3,600,0.25,linreg,0.9996719691247294,1.6241854657756751
200,0.2,40,3,600,0.25,pcr,0.2668928536881223,3629.847254207767
200,0.2,40,3,600,0.25,pls,0.9996719691251638,1.6241854636253175
200,0.5,100,3,600,0.25,linreg,0.9996719691247294,1.6241854657756751
200,0.5,100,3,600,0.25,pcr,0.5576172916964854,2190.3778555738945
200,0.5,100,3,600,0.25,pls,0.9996719691278457,1.6241854503463136
200,0.8,160,3,600,0.25,linreg,0.9996719691247294,1.6241854657756751
200,0.8,160,3,600,0.25,pcr,0.8241824765814724,870.5286230436685
200,0.8,160,3,600,0.25,pls,0.9996670437145951,1.6485727419627836
200,0.01,2,2,400,0.25,linreg,0.9995524884423178,2.2169356310760993
200,0.01,2,2,400,0.25,pcr,0.0971275535724152,4472.756205827062
200,0.01,2,2,400,0.25,pls,0.6769876378615536,1600.1768057382756
200,0.1,20,2,400,0.25,linreg,0.9995524884423178,2.2169356310760993
200,0.1,20,2,400,0.25,pcr,0.16061764936156786,4158.2314675064945
200,0.1,20,2,400,0.25,pls,0.9995544607277607,2.207165090410184
200,0.2,40,2,400,0.25,linreg,0.9995524884423178,2.2169356310760993
